variant,run_dir,n_epochs_run,best_epoch,best_val_score,best_val_dice,best_val_cldice,best_val_loss,test_mean_dice,test_mean_iou,test_mean_cldice,test_mean_f1,test_mean_precision,test_mean_recall,test_std_dice,test_std_cldice,test_micro_dice,test_micro_iou,test_micro_f1,test_micro_precision,test_micro_recall,tp,fp,fn,tn,n_patches
v1 (DSM),D:\90_PersonalFoldlers\JZa\DataProcessing\levees_detection\geomorphological_ML\training_v03_segformer_v1_dsm_only,100,93,0.4843556913693389,0.4188520586276802,0.5498593241109976,2.0743492876467684,0.30593859328233325,0.21356515278696345,0.5342134288051165,0.30593831085197276,0.2673575760800288,0.43227834012837135,0.27382427753303495,0.38320206008110613,0.45333389549082337,0.29310391827244814,0.4533334428215822,0.3466730969954415,0.6547942189002673,14332735,27010926,7556180,867555583,13984
v2 (DSM+TPI),D:\90_PersonalFoldlers\JZa\DataProcessing\levees_detection\geomorphological_ML\training_v03_segformer_v2_dsm_tpi,100,96,0.5012791307534471,0.4363130819002341,0.5662451796066601,2.087861064838187,0.3081347503591632,0.21579739404423573,0.5440636116447293,0.3081344653705595,0.2723852616958011,0.42696778771568,0.2761877317622896,0.38212341955454465,0.45760441494186754,0.29668420953410635,0.4576039573533019,0.35439086942520565,0.6456427831164475,14132420,25745639,7756495,868820870,13984
v3 (DSM+TPI+aux),D:\90_PersonalFoldlers\JZa\DataProcessing\levees_detection\geomorphological_ML\training_v03_segformer_v3_dsm_tpi_canopyheight,175,126,0.6641817621767815,0.6194925683257132,0.7088709560278498,3.156935296294827,0.403538807877883,0.3124138511973271,0.6900468498879988,0.40353851381164063,0.3737772132965569,0.477611432641512,0.34309335511658323,0.37208799496358347,0.6450209172024539,0.47603754581267554,0.6450204236859284,0.5790813267839758,0.7279072078263941,15933099,11581342,5955816,882985167,13984
