variant,group,n_patches,mean_dice,mean_iou,mean_cldice,mean_f1,mean_precision,mean_recall,micro_dice,micro_iou,micro_f1,micro_precision,micro_recall
v1 (DSM),L | negative,1093,0.2999203641553848,0.21522803491733933,0.5667823940426402,0.2999201123384774,0.25102009872539827,0.4155044000149581,0.5317091460375272,0.3621279425684666,0.5317086908588607,0.4091948936872927,0.7589374241330828
v1 (DSM),L | positive,1093,0.5743175170690444,0.418086962370233,0.7558496760454196,0.5743170660467793,0.4717403812145527,0.7850054923580716,0.5774564377302279,0.4059323405244996,0.5774559766676108,0.45146957357986844,0.800976531625484
v1 (DSM),M | negative,1415,0.21244753388155815,0.14870104122193084,0.5085061892213241,0.21244733741071792,0.17973579348514154,0.3063687624115713,0.354557108818582,0.21547822213629803,0.35455670971806413,0.2446538234328303,0.6437358511131176
v1 (DSM),M | positive,1415,0.43789087689497974,0.3055863429737694,0.611053632401072,0.43789046774232104,0.3738808351912859,0.6232241501840855,0.4691899022817534,0.3064977837428076,0.46918945008690677,0.3583769270388099,0.6792056523478736
v1 (DSM),S | negative,4484,0.14698595691377545,0.10186535037091857,0.4736942804545769,0.14698581459274332,0.12831344073262624,0.21336126888686152,0.3548901916074849,0.21572431809537293,0.3548897690472278,0.2546669850874264,0.5851890958127645
v1 (DSM),S | positive,4484,0.3888022752523809,0.266436423915581,0.5166327909568436,0.38880189920907443,0.35459994235203274,0.5487816893353886,0.4562391057709659,0.29553741610925777,0.45623864099139694,0.36054782110883365,0.6210759141428681
v2 (DSM+TPI),L | negative,1093,0.31346325069798053,0.2250289448558618,0.6044793901589695,0.31346298846227716,0.26902209417559564,0.42042030159240684,0.5531644999794855,0.3823271546569338,0.5531640380084906,0.4335873850797764,0.7638130718695503
v2 (DSM+TPI),L | positive,1093,0.5804279778735784,0.42462672272175966,0.7584266442289581,0.5804275251199488,0.4800165667399717,0.7822195692622271,0.5848699977987022,0.41329771603238624,0.584869534292386,0.460469293686913,0.8013681823862537
v2 (DSM+TPI),M | negative,1415,0.2166705158996576,0.15367350043032454,0.5335391139265955,0.21667031865511413,0.18546639696019432,0.3051045177639332,0.36401132908926725,0.2225023532018881,0.36401092319883693,0.2538713958738281,0.6429494455875973
v2 (DSM+TPI),M | positive,1415,0.44749230899566583,0.3142043145028627,0.6191746534682893,0.4474918937934641,0.38064524962582175,0.6283184370866959,0.47669662818709274,0.3129361078087608,0.47669617428765276,0.3656644199588615,0.6845598789627259
v2 (DSM+TPI),S | negative,4484,0.14851883969428004,0.10325003347272328,0.497888599284913,0.14851869491186992,0.1310976214775551,0.21114476192836712,0.3589583473219679,0.21873810864957646,0.3589579183082108,0.2607209944459058,0.575983996753174
v2 (DSM+TPI),S | positive,4484,0.38496529031618876,0.26374149318244905,0.5028784098119037,0.3849649138708672,0.3571468618529876,0.532708646514611,0.45554946352187814,0.2949589208345173,0.4555489932006918,0.3663055955449594,0.6022857036238348
v3 (DSM+TPI+aux),L | negative,1093,0.3910704563601253,0.31270488185189055,0.7823000307329717,0.391070189666932,0.3541835037570237,0.4567788153117242,0.7109355474712975,0.5515128014558819,0.7109350574686045,0.6228616046409117,0.8280192074638364
v3 (DSM+TPI+aux),L | positive,1093,0.7030636933540989,0.5617694161049129,0.8463870628894139,0.7030632187535478,0.6234321123236319,0.8279669939997728,0.7187246778508002,0.5609447598235311,0.7187241892152524,0.6245654010322643,0.846314825868436
v3 (DSM+TPI+aux),M | negative,1415,0.30614169065922825,0.23984170081837322,0.7261844301613024,0.306141473017393,0.2803791939752764,0.3631360575520765,0.6589253281266613,0.49134126678137363,0.6589248347756698,0.5907970622830313,0.7448142126960444
v3 (DSM+TPI+aux),M | positive,1415,0.5842403937431117,0.4503343262215008,0.7129490755288664,0.584239967538318,0.5418091683266997,0.6937038512229564,0.6609369279362892,0.4935816256344666,0.6609364367248223,0.5835694202935316,0.761954015279192
v3 (DSM+TPI+aux),S | negative,4484,0.2138883986599913,0.1661474977344352,0.7005824652956207,0.21388824179540755,0.19860451443729615,0.2550082950666781,0.6181189171393381,0.44730253913003626,0.6181184219209271,0.563058307317565,0.6851152926892943
v3 (DSM+TPI+aux),S | positive,4484,0.4969294903447717,0.37720571573907385,0.6002842262639059,0.4969291139922971,0.46931924776288186,0.5878245848540993,0.6194347793510752,0.4486820108795108,0.6194342842558475,0.5636147084367754,0.6875270567308206
