precision,recall
0.5,1.0
0.5024957287863053,1.0
0.5050164972055754,1.0
0.5074611714546746,0.9998
0.5099986396408652,0.9997333333333334
0.5125619552213296,0.9996666666666667
0.5151171579743008,0.9995333333333334
0.5176986566287944,0.9994
0.5203068592057761,0.9992666666666666
0.5228906413566893,0.999
0.5254130274650111,0.9986
0.5279619181946403,0.9982
0.5304668391762078,0.9976666666666667
0.5330696315301832,0.9972666666666666
0.5357002113710457,0.9968666666666667
0.5382149546174902,0.9962
0.5410465326815137,0.9960666666666667
0.5436539721837909,0.9954666666666667
0.5462898561335432,0.9948666666666667
0.5488810365135454,0.9941333333333333
0.551463784744069,0.9933333333333333
0.5541496092296241,0.9926666666666667
0.5568653867744471,0.992
0.5594234532590697,0.991
0.5621617530182038,0.9902666666666666
0.5648169292837025,0.9893333333333333
0.5673709998468841,0.9881333333333333
0.57007007007007,0.9871333333333333
0.5724298160696999,0.9855333333333334
0.5749337903100171,0.9841333333333333
0.577506169937713,0.9828
0.580226968240208,0.9816666666666667
0.5825273505628666,0.9797333333333333
0.5850711750867259,0.9782
0.5873646209386282,0.9762
0.5898874137444009,0.9745333333333334
0.5927655082819097,0.9734
0.5953518768124821,0.9717333333333333
0.5982164872195282,0.9704666666666667
0.6008269588587968,0.9687333333333333
0.6036613272311213,0.9672666666666667
0.6061291132881186,0.9652
0.608332982263976,0.9626666666666667
0.6108190605392573,0.9605333333333334
0.6131234267673535,0.9580666666666666
0.6155860884499785,0.9558
0.6178910976663786,0.9532
0.6202427036666521,0.9506666666666667
0.6231503370983277,0.9489333333333333
0.6257436213810426,0.9466666666666667
0.6282381121362669,0.9442
0.6309890600580487,0.9420666666666667
0.6331025802391441,0.9389333333333333
0.635018328279857,0.9354666666666667
0.6373701476216512,0.9326
0.6393247086888706,0.9290666666666667
0.6413691163564137,0.9256666666666666
0.643860465116279,0.9228666666666666
0.6459650601845347,0.9194666666666667
0.6479577398358646,0.9158666666666667
0.6504536170617015,0.9129333333333334
0.6524110218140069,0.9092
0.6547819802457239,0.906
0.656556342812773,0.9019333333333334
0.6584543188150755,0.898
0.6604293874335238,0.8941333333333333
0.6622848355573193,0.8900666666666667
0.6642178910544727,0.8860666666666667
0.666381350385177,0.8823333333333333
0.6685267857142857,0.8785333333333334
0.6711138373460104,0.8752666666666666
0.6733800350262698,0.8715333333333334
0.6751453488372093,0.8670666666666667
0.6772691603452786,0.8630666666666666
0.6795845196667721,0.8592666666666666
0.6815113992666206,0.8549333333333333
0.6836297407328048,0.8508
0.6854041794913333,0.8462
0.6873707131192162,0.8418
0.6893145271938972,0.8373333333333334
0.6909030544488712,0.8324
0.6926853763320873,0.8276666666666667
0.6947788905142342,0.8232666666666667
0.6968510638297872,0.8188
0.6988441290913252,0.8142
0.700681057370426,0.8093333333333333
0.7027420387727775,0.8047333333333333
0.7043105473338032,0.7995333333333333
0.7059659932460454,0.7944
0.7077704722056186,0.7894
0.7100898618901151,0.7849333333333334
0.7117210321324245,0.7796666666666666
0.7138733648590555,0.7749333333333334
0.7151800657038369,0.7692
0.7164039039039038,0.7634
0.7183454373223871,0.7583333333333333
0.7202601045518296,0.7532
0.7220827701615499,0.7479333333333333
0.7236807902261503,0.7424
0.7263599973751559,0.7379333333333333
0.7280318091451292,0.7324
0.730053547523427,0.7271333333333333
0.7311202758434183,0.7209333333333333
0.7325501980603742,0.7150666666666666
0.7338715241840889,0.7090666666666666
0.7361963190184049,0.704
