run,hour,wet_area_km2,volume_mil_m3,dz_median_m,dz_max_m,dV_dt_m3s,dV_dt_pct_inflow
baseline,0,0.0,0.0,,,,
baseline,1,6.5984,18.534804095458984,,,5148.556693183051,100.55774791373146
baseline,2,11.9522,36.96780240859985,0.7537040710449219,5.164466857910156,5120.277309205797,100.00541619542571
baseline,3,16.2917,55.399057693481446,0.5292625427246094,4.718963623046875,5119.793134689332,99.99595966190101
baseline,4,20.2419,73.83090456619263,0.581634521484375,4.04827880859375,5119.957464641995,99.99916923128896
baseline,5,23.6912,92.26107016143798,0.5562782287597656,4.511627197265625,5119.49044312371,99.99004771725997
baseline,6,27.9668,110.6931793121338,0.429840087890625,3.3005142211914062,5120.0303196377245,100.00059218042429
baseline,7,32.6023,129.12255572509767,0.3529510498046875,3.2284469604492188,5119.271225823299,99.9857661293613
baseline,8,37.4792,147.5541867111206,0.25701141357421875,4.8682861328125,5119.897496117479,99.99799797104451
baseline,9,43.1026,165.98150365371703,0.17588043212890625,3.073577880859375,5118.699150721232,99.97459278752407
baseline,10,48.6686,184.4109087867737,0.135009765625,3.315723419189453,5119.279203626851,99.98592194583694
baseline,11,53.0511,202.8321087162018,0.13597869873046875,3.2856483459472656,5116.999980396694,99.94140586712292
baseline,12,55.5913,215.395927022171,0.1650848388671875,3.1105384826660156,3489.949529435895,68.16307674679483
baseline,13,58.0425,223.73772159729003,0.10872650146484375,2.1765594482421875,2317.1651597552845,45.2571320264704
baseline,14,59.8653,230.28057202453613,0.0867156982421875,2.1058578491210938,1817.4584520128037,35.49723539087507
baseline,15,60.9814,235.71896823654174,0.08431243896484375,1.51177978515625,1510.665614446004,29.50518778214851
baseline,16,61.9904,240.4032036212921,0.0807647705078125,2.1255340576171875,1301.1764957639907,25.41360343289044
baseline,17,62.8149,244.52334789619445,0.06990814208984375,1.8011627197265625,1144.4845208062068,22.353213296996227
baseline,18,63.8162,248.1912823322296,0.0604705810546875,1.6060943603515625,1018.8706766764316,19.899817903836553
baseline,19,64.5971,251.47012437820433,0.05536651611328125,1.1064529418945312,910.789457215202,17.788856586234413
baseline,20,65.3261,254.4084075443268,0.0477294921875,1.1699066162109375,816.18976836735,15.941206413424805
baseline,21,65.9896,257.05020817642213,0.0413665771484375,2.3119583129882812,733.8335089153721,14.332685721003363
