run,hour,wet_area_km2,volume_mil_m3,dz_median_m,dz_max_m,dV_dt_m3s,dV_dt_pct_inflow
baseline,61,216.1226,613.4678744392395,0.00617218017578125,1.64337158203125,797.6131173239764,10.173636700560925
baseline,62,217.4043,616.2983387451172,0.00614166259765625,1.509521484375,786.2400849660389,10.028572512321924
baseline,63,218.3129,619.0765632793426,0.0061187744140625,1.2104415893554688,771.7290372848298,9.843482618428952
baseline,64,219.2415,621.8146310424804,0.0059967041015625,1.2450485229492188,760.5743786493867,9.701203809303403
baseline,65,220.2339,624.5062913055419,0.005859375,1.3699264526367188,747.6834064059782,9.536778142933395
baseline,66,221.3869,627.1462380023956,0.005950927734375,1.7034149169921875,733.3185269038091,9.353552639079197
baseline,67,222.5375,629.7305019363404,0.00566864013671875,1.16705322265625,717.8510927624238,9.156263938296222
baseline,68,223.6565,632.2462651508331,0.00555419921875,1.5124053955078125,698.8231151368672,8.913560142051876
baseline,69,225.0842,634.7106561344146,0.00557708740234375,1.5398712158203125,684.5530509948757,8.731544017791782
baseline,70,226.4168,637.1184678840638,0.0054779052734375,1.4293594360351562,668.8365971247537,8.531079044958592
levees,0,0.0,0.0,,,,
levees,1,7.698,28.383674362945555,,,7884.353989707099,100.56573966463137
levees,2,13.1085,56.60727945022583,1.8997573852539062,7.711006164550781,7839.890302022299,99.99860079110074
levees,3,18.4833,84.83143338623047,1.2122268676757812,6.053367614746094,7840.042760001288,100.00054540817969
levees,4,24.8753,113.05153964004516,0.68670654296875,5.361083984375,7838.918403837414,99.98620413057925
levees,5,30.7692,141.27536594696045,0.34799957275390625,5.010337829589844,7839.951751920912,99.99938459082796
levees,6,37.8685,169.4969309539795,0.3654022216796875,5.248268127441406,7839.3236130608475,99.99137261557203
levees,7,46.6129,197.71960328140258,0.328887939453125,4.468284606933594,7839.631202061968,99.99529594466796
levees,8,54.1772,225.94052255706788,0.26572418212890625,3.9674911499023438,7839.144243240359,99.98908473520866
levees,9,62.9761,254.15832512245177,0.16887664794921875,4.420158386230469,7838.278490384415,99.97804196918896
levees,10,72.292,282.37710913925173,0.1666259765625,3.6850738525390625,7838.5511157777655,99.98151933390007
