threshold,n_selected,dtm_n,dtm_median_m,dtm_mae_m,dtm_p20_m,dtm_p80_m
0.05,6918,6918,-3.448082506945795,3.407176355744106,-4.797497576555983,-1.6994847424484356
0.1,6574,6574,-3.442209076181456,3.4137181925875555,-4.8022120110627675,-1.7427111972824971
0.2,5946,5946,-3.436720105336178,3.422485939416835,-4.817344852590168,-1.8156730043677243
0.3,5330,5330,-3.4220756338879568,3.407907616186419,-4.790450362435888,-1.8065107940094096
0.5,4252,4252,-3.3875312791208216,3.3934467065323513,-4.841648430154061,-1.7584307594714055
0.7,3422,3422,-3.28914906977527,3.3236701538264404,-4.781913262458553,-1.6577851770752314
