threshold,n_selected,dtm_n,dtm_median_m,dtm_mae_m,dtm_p20_m,dtm_p80_m
0.05,6824,6824,-1.0454864815401432,1.571748958862938,-2.963623282114677,-0.1393253881527812
0.1,6484,6484,-1.0991357193886913,1.5977097210678455,-2.9937530504193886,-0.14452013498634528
0.2,5875,5875,-1.2153458736930531,1.6504438269379031,-3.043384208592262,-0.16092015342957502
0.3,5258,5258,-1.3009774489247334,1.696147712373722,-3.0820607317730633,-0.16926851101238177
0.5,4190,4190,-1.5064443310650617,1.7805978339994122,-3.14509667546842,-0.19542348860645684
0.7,3370,3370,-1.6657367226229667,1.8372059885454461,-3.1871171404634864,-0.2074784860562771
